name,KO3-M56,KO2-M75,KO1-M74,WT3-M53,WT2-M76,WT1-M73
Label,a_GeneKO,a_GeneKO,a_GeneKO,b_Control,b_Control,b_Control
1-Methyladenosine,11070.46428,5244.256498,6573.741066,5265.759202,5094.312098,6001.001653
1-Methylhistamine | 3-Methylhistamine,23790.0314,17395.37016,16585.29437,15117.87785,11285.76212,12515.34621
1-Methylhistidine | 3-Methylhistidine,14685.03356,15553.941,18201.16729,18451.13214,20583.9258,14455.01039
2-Hydroxy-2-methylbutyric acid,2282.248591,2850.868589,2648.706229,1352.837686,2159.257031,1961.136986
3-Methyladenine | 1-Methyladenine,32891.70104,50700.67697,49801.16852,43767.71743,42935.09654,31333.68987
3-Pyridylacetic acid,28735.73919,27711.02234,24344.93691,15473.06301,26167.53325,13019.10097
4-Guanidinobutanoic acid,6484.327363,4671.645246,5393.393105,4296.796898,2310.32571,4371.092971
5-Aminolevulinic acid,52355.13521,61967.95657,56629.60505,58689.50677,102319.1911,59295.201
5'-Methylthioadenosine,29282.16387,31027.46599,33060.27,17644.38063,18467.89734,19781.90014
Adenine,9946.942492,10849.38632,8073.051038,9935.815139,9014.397602,6497.484578
Adenosine,12014.6451,10468.1722,10906.0397,6780.971299,7720.425232,3527.27591
Allantoin,2020.326482,1739.525955,1045.327045,1089.666664,778.6163369,1134.366641
AMP | 2'-Deoxyguanosine 5'-monophosphate,50588.82878,45325.06602,34758.2327,36829.99577,25846.08816,24650.89555
Argininosuccinic acid,1401.057993,884.0852793,516.4532764,802.658487,0,794.8015892
Asparagine,15955.52895,11643.60424,12157.59873,16369.63487,8213.516713,16422.37691
Aspartic acid,15350.46661,10487.31882,8368.522631,12331.72939,9006.27822,8314.554852
Azelaic acid,2168.457447,2429.424445,1844.288084,2211.431344,1748.576745,1810.463699
Carnitine,765615.3561,696935.9397,624728.1581,737738.5105,779233.7483,638943.8917
Carnosine,32266.84321,31575.48626,36454.35066,102285.78,161005.1795,96230.98249
Cholic Acid,0,0,0,8817.211614,0,4279.162418
Ciliatine,5885.694323,6484.073756,5745.048075,5822.842712,5707.655336,8806.767436
citric acid | D-threo-Isocitric acid,3696.772579,1757.184868,1595.678808,1873.168554,1832.876012,2158.50983
CMP,5702.213894,6922.783683,6965.416925,4344.252805,4507.685118,5796.214659
Creatine,939264.4005,918898.6725,909378.3611,993238.3275,615518.5557,703305.2831
Creatinine,75466.1416,119632.4022,96478.60762,84528.70856,72538.45861,71474.22036
Cytidine,7867.868603,5857.6155,5992.59912,3477.379079,3507.485332,3999.59134
Cytosine,9528.347221,7033.167497,8482.047286,6383.867391,4151.907938,6482.263393
D-Fructose 6-phosphate | Glucose 6-phosphate,36494.43453,72400.26279,55672.64349,1128.871829,1813.708118,3865.837839
D-Galactose | D-Mannose | D-Tagatose | Allose | D-Fructose,2170.456223,1703.864744,2872.250378,1306.976934,2349.190614,2285.219219
D-Glutamine,273803.6385,255395.4196,230665.303,264551.8639,220102.1165,228108.8729
D-Lysine,142794.1258,198446.9398,108477.8519,129261.8508,113754.9292,91968.02419
D-Ribose 5-phosphate,5509.207045,4591.071585,3152.285978,3120.746796,5559.108971,5614.825924
Dihydrouracil,7934.314494,8612.592757,7223.430526,7442.324201,9302.555866,7145.876553
Epinephrine,3640.614272,2730.20779,2684.604551,2208.357198,2205.672895,2288.768207
Fumarate,4220.043207,3462.455387,3915.064929,3125.90343,3509.655128,4360.141064
g-Glutamylleucine,3337.085647,3708.696421,3579.726921,5378.477675,3979.252333,2433.4765
Gamma-Glutamylcysteine,5241.779273,4343.131308,3049.386507,2542.049723,3955.077083,4429.642198
Glutamic acid | N-Acetylserine,239651.4177,177009.7291,141231.6628,134314.9816,137917.345,185807.7256
Glutathione,1103223.865,1057337.282,934270.7283,976107.0689,1073413.676,922883.272
Glycerone phosphate,2879.424394,3053.313312,1715.70528,0,556.0355702,1219.795045
Glycerophosphocholine,131016.0032,134572.7944,91369.10225,81801.87489,110909.9377,121931.7973
Glycine,2727.008908,8014.460627,8378.132654,7099.081108,7023.032852,8234.597569
Glycyl-L-leucine,10397.36929,9009.023548,7549.3809,5511.921096,5644.24909,6877.159776
Histamine,108248.0017,88845.65696,111514.44,98390.54329,147861.6752,79168.13039
Histidine,16021.75457,20469.44247,17936.94947,49595.0927,62125.55444,45832.03947
Hypoxanthine,693064.9105,640352.3722,599961.0121,544781.1097,550573.2211,527107.5259
Inosine,56085.12122,47083.04754,52255.12482,32121.0293,35899.74771,43122.52468
inosine-5'-monophosphate disodium salt (IMP),186285.1932,176603.9937,167382.5271,184605.1028,184240.5275,173176.8819
L-a-aminobutyric acid | 3-Aminoisobutanoate,7119.103126,6355.362175,6634.590158,5303.683819,5066.250539,4455.748727
L-Acetylcarnitine | Acetylcarnitine,1130100.572,1070095.358,964819.8885,1007328.599,1067871.14,919022.9406
