鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
101,6,2015,334,27,76,114,2,107,3,64,0,983,192,0,0,14,25,8,19,0,12,1,18,9,7,0,0,14,112,677,50,臺北市松山區
102,5,2201,495,0,33,107,1,145,4,89,1,1061,133,0,0,25,51,4,17,0,6,0,20,5,4,0,0,12,169,542,271,臺北市大安區
109,2,4055,740,51,34,219,1,192,0,114,0,2264,218,0,0,46,52,3,47,0,28,2,27,9,8,0,0,72,177,1066,411,臺北市大同區
110,4,2467,535,0,23,130,1,111,0,59,0,1365,123,1,0,16,19,5,13,0,9,4,37,6,3,7,0,24,214,523,211,臺北市中山區
111,3,2720,614,11,49,165,1,142,1,109,1,1399,103,0,0,20,28,13,18,0,10,2,23,3,5,1,2,18,382,729,34,臺北市內湖區
112,1,23,3,0,0,2,0,1,0,1,0,8,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,2,0,臺北市南港區
115,1,1783,412,0,37,85,0,67,0,64,0,992,49,0,0,12,20,2,10,1,6,3,14,3,3,3,0,16,163,340,261,臺北市士林區
116,5,7291,1447,7,72,340,0,294,1,281,0,4324,183,0,0,45,102,6,54,1,29,0,75,15,10,5,0,57,799,1132,681,臺北市北投區
117,2,1417,300,8,53,60,0,45,1,48,0,738,74,0,0,10,30,4,18,1,6,2,13,4,1,1,0,14,64,350,19,臺北市信義區
118,3,4941,1202,9,87,218,0,217,1,133,0,2869,41,0,0,23,44,3,22,0,23,0,30,12,5,2,0,49,186,726,549,臺北市中正區
119,5,583,103,9,9,31,1,24,2,21,0,280,52,0,0,6,25,4,9,0,0,0,5,1,0,1,0,5,48,153,21,臺北市萬華區
120,2,1571,346,5,54,76,1,63,1,48,0,811,71,0,0,11,26,4,20,0,5,0,21,5,3,0,0,13,142,391,243,臺北市文山區
301,11,1122,178,13,3,55,0,42,0,30,1,640,74,0,0,13,29,17,13,1,1,0,9,3,0,0,0,6,88,284,73,臺中市豐原區
302,2,141,17,0,0,11,0,8,0,8,0,68,20,0,0,1,3,4,1,0,0,0,0,0,0,0,0,1,3,53,13,臺中市東勢區
303,2,258,39,0,0,13,0,17,0,9,0,127,40,0,0,3,2,3,3,0,0,0,2,0,0,0,0,5,18,76,16,臺中市大甲區
304,2,88,7,0,0,5,0,0,0,0,0,41,16,0,0,2,0,0,5,6,6,0,0,0,0,0,0,6,6,27,27,臺中市清水區
305,1,1223,192,0,3,60,0,63,0,55,0,729,66,0,1,8,14,4,9,2,2,0,8,5,2,0,0,13,105,389,154,臺中市沙鹿區
306,3,1696,239,0,10,60,0,68,1,58,0,1034,134,0,0,15,16,11,18,2,3,1,17,8,1,0,0,15,121,416,78,臺中市梧棲區
309,1,978,135,19,2,50,0,39,0,33,0,618,42,1,0,6,11,0,7,0,3,0,7,2,3,0,0,8,117,193,11,臺中市潭子區
310,2,199,24,2,0,11,0,10,0,7,0,104,24,0,0,1,6,4,3,0,0,0,3,0,0,0,0,1,20,45,16,臺中市大雅區
312,1,54,5,0,0,3,0,0,0,0,0,28,9,0,0,1,0,0,4,1,3,0,0,0,0,0,0,5,1,14,13,臺中市石岡區
315,1,56,7,0,0,3,0,3,0,1,0,30,7,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,5,18,1,臺中市烏日區
318,3,186,23,0,0,12,0,18,0,6,0,99,17,0,0,1,3,2,2,0,0,0,3,0,0,0,0,0,7,57,15,臺中市霧峰區
319,3,765,130,0,7,46,0,45,1,29,0,387,70,0,1,8,11,7,12,1,4,0,4,1,1,0,0,11,37,283,76,臺中市太平區
320,3,794,97,2,8,42,0,45,0,37,0,465,61,0,0,6,12,3,6,1,1,0,6,0,2,0,0,8,165,217,134,臺中市大里區
322,3,518,71,0,1,33,0,22,0,15,0,300,48,0,0,4,10,0,3,0,1,0,10,0,0,0,0,5,74,111,34,臺中市中區
323,3,275,38,0,3,16,0,14,0,7,0,154,9,0,0,1,15,2,9,1,0,0,2,4,0,0,0,0,15,77,8,臺中市東區
324,3,865,125,4,6,51,0,47,0,31,0,478,60,0,0,9,20,4,13,1,8,1,5,2,0,0,0,13,83,191,38,臺中市西區
325,4,1912,355,7,59,77,0,99,0,59,0,1050,37,0,0,23,58,2,45,2,8,1,13,14,3,0,0,13,64,451,33,臺中市南區
326,7,3357,655,50,32,154,0,142,0,93,0,1949,127,0,0,27,30,5,23,4,13,2,39,9,3,0,0,24,439,503,269,臺中市北區
327,2,3664,784,11,43,145,0,206,1,139,0,2087,95,0,0,25,36,0,25,0,8,3,35,9,5,6,1,33,186,622,219,臺中市西屯區
328,3,785,105,0,3,33,0,41,0,30,1,468,53,0,0,6,17,4,7,1,2,0,10,3,1,0,0,4,30,219,26,臺中市南屯區
329,6,268,32,3,0,15,2,15,1,8,0,106,31,0,0,4,23,8,13,2,0,0,2,3,0,0,0,3,9,92,19,臺中市北屯區
