鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,驗光師,驗光生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
101,5,2189,353,25,75,115,2,108,4,91,0,1160,136,1,1,15,30,6,18,0,13,0,20,8,8,0,0,0,0,14,132,586,73,臺北市松山區
102,6,2476,547,0,35,107,1,140,3,109,1,1257,123,0,2,24,50,5,20,0,10,1,26,6,7,0,0,2,0,18,205,555,256,臺北市大安區
109,1,4286,748,72,47,253,0,197,0,127,0,2428,131,2,5,59,63,3,54,0,33,9,27,15,9,2,0,2,0,71,196,1136,676,臺北市大同區
110,4,2839,680,8,34,149,1,123,0,70,0,1582,73,0,1,18,17,3,14,0,10,4,36,7,2,7,0,0,0,30,137,575,225,臺北市中山區
111,3,3512,685,14,91,172,0,162,1,138,0,2011,88,2,1,24,37,6,22,0,10,2,29,8,5,1,2,0,1,21,534,731,70,臺北市內湖區
115,1,1916,419,0,34,65,0,68,0,80,0,1107,36,2,0,14,32,2,14,1,5,3,20,4,3,3,0,4,0,15,155,371,279,臺北市士林區
116,6,8438,1689,15,112,385,0,363,1,340,0,5013,111,2,0,60,114,4,66,0,40,1,82,17,14,5,1,3,0,56,741,1416,519,臺北市北投區
117,1,1692,372,13,69,68,0,60,0,59,0,912,41,3,0,11,27,2,16,1,7,3,16,7,2,2,0,1,0,10,58,337,41,臺北市信義區
118,3,5291,1378,0,105,235,0,238,0,157,0,2968,15,0,0,32,49,3,28,0,28,0,32,14,7,2,0,0,0,29,234,802,352,臺北市中正區
119,4,613,110,3,7,33,0,25,2,27,0,298,38,0,0,7,39,0,11,0,0,1,5,3,0,1,0,2,1,5,61,171,48,臺北市萬華區
120,2,1751,380,5,60,91,0,66,0,58,0,944,47,1,0,13,25,6,14,0,7,0,26,5,3,0,0,0,0,15,202,371,218,臺北市文山區
301,11,1233,148,17,8,63,0,46,0,47,0,753,52,2,1,10,32,12,21,1,2,1,8,5,2,2,0,0,0,8,38,343,91,臺中市豐原區
302,1,113,14,0,0,7,0,6,0,6,0,65,7,0,0,1,3,1,2,0,0,0,1,0,0,0,0,0,0,1,4,36,9,臺中市東勢區
303,3,321,42,0,0,14,0,18,0,13,0,179,35,0,0,3,4,2,6,0,2,0,3,0,0,0,0,0,0,3,15,78,32,臺中市大甲區
304,2,93,9,0,0,6,0,0,0,0,0,50,10,0,0,2,0,0,5,5,6,0,0,0,0,0,0,0,0,5,6,28,6,臺中市清水區
305,1,1366,212,0,2,63,0,60,0,53,0,849,46,0,1,13,18,4,11,1,10,1,11,7,4,0,0,0,0,15,107,407,198,臺中市沙鹿區
306,3,2111,292,2,13,77,0,80,1,79,0,1344,98,0,0,19,24,9,21,1,11,2,24,11,2,1,0,0,0,14,146,475,130,臺中市梧棲區
309,1,1200,177,34,4,60,0,43,0,45,0,748,15,3,0,11,16,0,12,0,6,0,15,3,4,0,0,2,2,10,129,256,18,臺中市潭子區
310,1,179,24,3,0,10,0,11,0,10,0,95,10,0,0,2,7,1,3,0,0,0,2,1,0,0,0,0,0,1,16,27,11,臺中市大雅區
312,1,56,5,0,0,5,0,0,0,0,0,33,4,0,0,1,0,0,4,1,3,0,0,0,0,0,0,0,0,4,1,12,18,臺中市石岡區
315,2,437,52,0,1,17,0,17,0,17,0,263,24,0,0,6,21,0,7,0,1,0,7,3,0,0,0,1,0,3,25,147,8,臺中市烏日區
318,2,780,101,3,1,46,0,27,0,36,0,508,17,0,0,8,13,0,7,0,2,0,5,3,1,0,0,0,2,4,29,138,54,臺中市霧峰區
319,4,1036,158,2,10,59,0,58,1,47,0,545,59,0,1,12,25,7,24,1,8,0,7,6,3,0,0,3,0,16,71,393,125,臺中市太平區
320,4,1026,134,2,7,53,0,60,0,46,0,598,48,1,0,8,28,4,18,0,3,1,6,7,2,0,0,0,0,6,205,237,107,臺中市大里區
322,3,516,69,0,1,31,0,25,0,19,0,302,33,0,0,6,11,0,6,0,2,0,9,2,0,0,0,0,0,4,59,118,17,臺中市中區
323,3,307,39,4,7,19,0,16,0,8,0,169,6,0,0,2,19,1,10,0,0,0,2,5,0,0,0,0,0,1,11,82,10,臺中市東區
324,3,840,117,4,3,48,0,50,1,33,0,474,42,1,4,10,17,2,18,0,7,1,5,2,1,0,0,0,0,14,51,173,29,臺中市西區
325,4,2163,395,11,55,93,1,102,0,62,0,1236,31,4,0,18,53,1,39,2,14,1,17,14,5,2,2,4,1,16,72,565,26,臺中市南區
326,7,4464,853,58,50,212,0,167,0,133,1,2713,89,0,0,31,33,4,26,2,23,0,43,15,5,1,0,0,5,29,445,675,231,臺中市北區
327,2,4326,867,12,51,170,0,222,1,167,0,2611,61,1,2,27,37,0,24,0,11,3,36,9,5,4,0,3,2,43,233,610,164,臺中市西屯區
328,3,827,85,2,4,42,0,38,0,29,1,538,29,0,1,10,14,3,8,0,2,1,11,5,1,0,0,1,2,6,33,283,8,臺中市南屯區
329,7,406,53,5,1,24,2,21,1,18,0,186,41,0,0,4,25,5,11,2,0,0,5,2,0,0,0,0,0,4,30,124,38,臺中市北屯區
501,4,384,49,4,1,16,0,19,0,14,4,190,34,0,0,5,16,7,11,0,3,0,6,5,0,0,0,0,0,7,10,85,52,臺南市新營區
503,1,23,4,0,0,2,0,0,0,0,1,7,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,11,臺南市白河區
504,1,456,54,2,5,23,0,15,0,14,0,273,26,1,0,7,9,2,9,0,1,0,10,4,1,0,0,0,0,5,38,133,102,臺南市麻豆區
505,2,479,56,0,5,20,0,16,0,17,1,303,22,0,0,4,12,2,8,0,2,0,10,1,0,0,0,0,0,3,28,173,81,臺南市佳里區
506,2,127,18,1,0,8,0,6,0,6,0,68,7,0,0,2,3,0,5,0,2,0,0,1,0,0,0,0,0,2,4,28,6,臺南市新化區
507,1,24,3,0,0,2,0,4,0,2,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,臺南市善化區
509,1,1459,133,5,17,66,0,56,0,56,0,1020,14,0,0,10,23,0,17,0,5,0,27,5,4,1,0,0,0,16,48,345,20,臺南市柳營區
527,2,307,33,1,0,21,0,13,0,6,0,199,4,0,0,3,3,0,14,0,9,0,1,0,0,0,0,0,0,16,45,97,75,臺南市仁德區
529,1,24,3,0,0,2,0,1,0,2,0,11,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,臺南市關廟區
531,5,3394,610,15,62,129,0,135,0,103,0,2053,74,1,0,27,39,9,34,3,15,0,55,14,13,2,0,1,0,25,329,744,503,臺南市永康區
532,3,1712,220,18,38,76,0,86,0,45,1,1072,53,0,1,15,19,7,19,1,7,0,22,4,5,2,1,0,0,16,220,412,144,臺南市東區
534,7,1380,177,13,3,66,2,73,0,42,2,778,76,0,0,16,44,12,36,2,7,0,19,9,2,0,0,1,0,16,92,265,152,臺南市中西區
535,5,3636,762,5,52,143,0,151,0,105,0,2222,38,0,0,20,35,4,26,3,17,0,37,6,5,2,0,2,1,19,168,987,270,臺南市北區
537,1,1000,107,10,7,33,0,31,0,32,0,700,24,0,0,7,17,0,13,0,5,0,10,2,2,0,0,0,0,9,37,222,122,臺南市安南區
701,7,520,57,4,4,33,0,23,0,16,1,261,44,0,2,7,17,9,16,2,2,0,9,11,0,0,0,0,2,5,21,121,31,高雄市鳳山區
702,6,543,78,2,13,31,0,24,0,21,0,260,55,0,1,7,19,5,16,2,4,1,3,0,1,0,0,0,0,7,56,160,31,高雄市岡山區
703,4,501,61,4,1,25,0,17,0,15,0,269,50,0,0,5,24,4,13,2,3,0,3,4,1,0,0,0,0,8,4,167,104,高雄市旗山區
704,1,17,3,0,0,2,0,0,0,1,0,1,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,高雄市美濃區
705,2,310,34,0,1,19,0,23,1,19,1,178,21,0,0,4,2,2,2,0,0,0,3,0,0,0,0,0,0,3,10,110,4,高雄市林園區
706,3,161,14,0,0,15,0,7,0,2,0,90,19,0,0,1,0,0,7,0,6,0,0,0,0,0,0,0,0,6,8,49,34,高雄市大寮區
710,1,4451,957,16,32,181,0,126,1,97,0,2801,62,0,0,25,20,0,21,2,13,0,84,8,5,0,0,0,0,50,602,703,31,高雄市鳥松區
711,1,29,5,0,0,2,0,0,0,1,0,13,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,2,高雄市橋頭區
712,3,2633,441,22,19,98,0,94,0,80,1,1708,40,1,0,28,18,3,20,1,15,0,35,4,5,0,0,0,0,26,226,679,21,高雄市燕巢區
714,1,19,2,0,0,2,0,1,0,1,0,6,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,6,1,高雄市阿蓮區
715,2,84,7,0,0,5,0,2,0,3,0,18,9,0,0,1,13,6,10,3,0,0,1,6,0,0,0,0,0,1,2,28,6,高雄市路竹區
729,3,643,73,0,2,29,0,33,0,21,1,396,50,0,0,6,10,4,8,0,1,0,5,3,1,0,0,0,0,4,28,121,44,高雄市鼓山區
730,6,3684,752,12,36,139,0,159,0,112,0,2271,79,1,0,23,29,3,22,1,11,0,21,5,4,4,0,0,0,28,349,547,154,高雄市左營區
731,5,526,62,2,2,30,1,23,0,18,1,288,47,0,0,5,20,4,12,0,2,0,5,4,0,0,0,0,0,3,24,122,47,高雄市楠梓區
732,11,3978,834,10,90,166,1,177,1,104,2,2322,81,0,0,24,47,2,36,0,18,0,50,8,3,1,0,1,0,23,329,778,230,高雄市三民區
